generic_name,status,pmid,label,year,first_author,title,pub_types,reason,url
cenobamate,included,31292226,KasteleijnNolstTrenite2019,2019,Kasteleijn-Nolst Trenite,Suppression of the photoparoxysmal response in photosensitive epilepsy with cenobamate (YKP3089).,"Clinical Trial, Phase II; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",qualifying placebo-controlled randomized clinical trial report,https://pubmed.ncbi.nlm.nih.gov/31292226/
cenobamate,rejected,41812435,,2026,Serratosa,Seizure-free days as a clinical outcome measure of reduced epilepsy burden: 5-year outcomes with cenobamate treatment.,Journal Article; Randomized Controlled Trial,title lacks primary randomized/placebo/phase trial language,https://pubmed.ncbi.nlm.nih.gov/41812435/
cenobamate,rejected,41230998,,2025,Kawai,"Early response rates with adjunctive cenobamate in uncontrolled focal seizures: Prospective analysis of a randomized, double-blind, placebo-controlled study in a multinational Asian population.",Journal Article; Randomized Controlled Trial; Multicenter Study,excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/41230998/
cenobamate,rejected,41428177,,2025,Yu,Efficacy and Safety of Adjunctive Cenobamate in Chinese Participants with Focal Seizure.,Journal Article; Randomized Controlled Trial; Multicenter Study,title lacks primary randomized/placebo/phase trial language,https://pubmed.ncbi.nlm.nih.gov/41428177/
cenobamate,rejected,41101116,,2025,Wu,"Efficacy of adjunctive cenobamate by focal seizure subtypes: a randomized, double-blind, placebo-controlled, multicenter study in a multinational Asian population.",Journal Article; Randomized Controlled Trial; Multicenter Study,excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/41101116/
cenobamate,rejected,40020525,,2025,Goldenholz,Inductive reasoning with large language models: A simulated randomized controlled trial for epilepsy.,Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/40020525/
cenobamate,rejected,38652999,,2024,Xu,Efficacy and safety of adjunctive cenobamate based on patient etiology: Post-hoc analysis of YKP3089C017 randomized clinical trial.,"Journal Article; Randomized Controlled Trial; Clinical Trial, Phase II",title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/38652999/
cenobamate,rejected,38562831,,2024,Goldenholz,Inductive reasoning with large language models: a simulated randomized controlled trial for epilepsy.,Preprint; Journal Article,drug term not in title,https://pubmed.ncbi.nlm.nih.gov/38562831/
cenobamate,rejected,38184949,,2024,Krauss,Cognitive and psychiatric adverse events during adjunctive cenobamate treatment in phase 2 and phase 3 clinical studies.,"Randomized Controlled Trial; Clinical Trial, Phase II; Clinical Trial, Phase III; Journal Article",title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/38184949/
cenobamate,rejected,36855241,,2023,Klein,Failure to use new breakthrough treatments for epilepsy.,"Randomized Controlled Trial; Journal Article; Research Support, Non-U.S. Gov't; Research Support, N.I.H., Extramural",drug term not in title,https://pubmed.ncbi.nlm.nih.gov/36855241/
cenobamate,rejected,35705501,,2022,Klein,Long-term Efficacy and Safety From an Open-Label Extension of Adjunctive Cenobamate in Patients With Uncontrolled Focal Seizures.,Randomized Controlled Trial; Journal Article,excluded secondary/non-primary title,https://pubmed.ncbi.nlm.nih.gov/35705501/
cenobamate,rejected,35711112,,2022,Steinhoff,Onset of efficacy and adverse events during Cenobamate titration period.,Journal Article; Randomized Controlled Trial,drug appears in title but not as primary intervention,https://pubmed.ncbi.nlm.nih.gov/35711112/
cenobamate,rejected,35182037,,2022,Darpo,A Phase 1 Clinical Study Evaluating the Effects of Cenobamate on the QT Interval.,"Clinical Trial, Phase I; Journal Article; Randomized Controlled Trial",title lacks seizure/epilepsy context,https://pubmed.ncbi.nlm.nih.gov/35182037/
